name,category,address,city,state,postcode,phone,email,facebook,osm_type,osm_id,osm_url,latitude,longitude,source_region,confidence_score,no_website_signal
Simon Hair Salon,shop:hairdresser,520 Lee Entrance Unit 106,Erie County,NY,,+1 716-580-3021,,https://www.facebook.com/simonhairsalonub/,node,11963934024,https://www.openstreetmap.org/node/11963934024,43.0018891,-78.7852145,Erie County,90,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Staple Vintage,shop:clothes,664 University Avenue,Rochester,NY,14607,+1-585-737-6019,,https://www.facebook.com/staplevintageroc/,node,13207821753,https://www.openstreetmap.org/node/13207821753,43.1560326,-77.5849824,Monroe County,90,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Access Care,amenity:doctors,4960 Harlem Road,Amherst,NY,14226,+1-716-748-7640,,,node,8325200377,https://www.openstreetmap.org/node/8325200377,42.9770119,-78.7846884,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Ace Hardware,shop:doityourself,5726 South Park Avenue,Hamburg,NY,14075,+1 716-649-4141,,,way,559521873,https://www.openstreetmap.org/way/559521873,42.741394,-78.8243858,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Ace Hardware,shop:doityourself,3400 Monroe Avenue Unit 11B,Rochester,NY,14618,+1 585-248-2333,,,node,8786028592,https://www.openstreetmap.org/node/8786028592,43.1031893,-77.5347103,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Ace Hardware,shop:doityourself,342 East Center Street,Medina,NY,14103,+1 585-798-4000,,,way,597584795,https://www.openstreetmap.org/way/597584795,43.2198039,-78.3808952,Orleans County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Aguilera's,amenity:restaurant,521 Monroe Avenue,Rochester,NY,14607,+1 585-537-5705,,,node,6410562777,https://www.openstreetmap.org/node/6410562777,43.14626,-77.5934831,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Alden Full Service Laundry,shop:laundry,12810 Broadway Street,Alden,NY,14004,+1-716-937-9882,,,node,8457856526,https://www.openstreetmap.org/node/8457856526,42.8957431,-78.5100357,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Alethea's Chocolates,shop:confectionery,8301 Main Street,Erie County,NY,14221,+1 716-633-8620,,,node,12625205401,https://www.openstreetmap.org/node/12625205401,42.9645487,-78.6851805,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Ark Veterinary Hospital & Urgent Care,amenity:veterinary,35 Finn Road,Henrietta,NY,14467,+1 585 487 8700,,,way,1353251266,https://www.openstreetmap.org/way/1353251266,43.045356,-77.6585568,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Artisan Autoworks,shop:car_repair,518 Rhode Island Street,Buffalo,NY,14213,+1-716-768-3746,,,node,12593726467,https://www.openstreetmap.org/node/12593726467,42.913152,-78.882959,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Austin's Kitchen,amenity:restaurant,520 Lee Entrance Unit 306,Erie County,NY,,+1 716-923-3969,,,node,11963934033,https://www.openstreetmap.org/node/11963934033,43.0019344,-78.7843581,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Baker Street Bread Co,shop:bakery,745 Park Avenue,Rochester,NY,14607,+1 585-241-3120,,,node,924831384,https://www.openstreetmap.org/node/924831384,43.1473941,-77.5758235,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Barbara Oliver Jewelers,shop:jewelry,5820 Main Street,Buffalo,NY,14221,+1-716-204-1297,,,node,4377394890,https://www.openstreetmap.org/node/4377394890,42.9645636,-78.7364232,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Beulah's Diner,amenity:restaurant,1239 Niagara Street,Buffalo,NY,14213,+1 716-322-5079,,,node,8454611691,https://www.openstreetmap.org/node/8454611691,42.9175682,-78.8988951,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
BJ's Wholesale Club,shop:wholesale,950 Ridge Road,Webster,NY,14580,+1 585-787-2400,,,way,243923018,https://www.openstreetmap.org/way/243923018,43.2107612,-77.465661,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Blacksheep Boutique,shop:gift,34 Central Avenue,Lancaster,NY,14086,+1-716-288-9880,,https://www.facebook.com/lancasterblacksheep/,node,13588279626,https://www.openstreetmap.org/node/13588279626,42.9017386,-78.6706178,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
BLU Bar and Grill,amenity:bar,250 Pixley Road,Rochester,NY,14624,+1 585 247 0079,,,way,261552107,https://www.openstreetmap.org/way/261552107,43.1433781,-77.7085839,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Bruegger's Bagels,amenity:fast_food,707 Pittsford Victor Road,Pittsford,NY,14534,+1 585-264-0060,,,node,936996927,https://www.openstreetmap.org/node/936996927,43.0606132,-77.4759806,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Buffalo Infertility & IVF Associates,amenity:clinic,4510 Main Street,Amherst,NY,14226,+1-716-839-3057,,,way,738983154,https://www.openstreetmap.org/way/738983154,42.9639978,-78.7831207,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Cafe Sasso,amenity:cafe,739 Park Avenue,Rochester,NY,14607,+1 585-697-0235,,,node,924831379,https://www.openstreetmap.org/node/924831379,43.1474778,-77.5759519,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Chateau Wine & Spirits,shop:alcohol,1620 Penfield Road,Rochester,NY,14625,+1-585-385-9900,,,node,8786011836,https://www.openstreetmap.org/node/8786011836,43.1347762,-77.4938994,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Chili's,amenity:restaurant,1145 Niagara Falls Boulevard,Amherst,NY,14226,+1-716-832-3730,,,way,396886929,https://www.openstreetmap.org/way/396886929,42.9848146,-78.8221248,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
China King,amenity:restaurant,4271 Lake Avenue,Buffalo,NY,14219,+1-716-826-6668,,,node,13094666549,https://www.openstreetmap.org/node/13094666549,42.7955513,-78.8199488,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Clean-O-Rama Laundromat,shop:laundry,345 Jefferson Road,Rochester,NY,14623,+1-585-272-1797,,,node,1036509718,https://www.openstreetmap.org/node/1036509718,43.0906831,-77.6475029,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Clinton Fast Cash,shop:pawnbroker,997 North Clinton Avenue,Rochester,NY,14621,+1 585-454-1444,,,node,7248891028,https://www.openstreetmap.org/node/7248891028,43.177105,-77.6136223,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Clover Leaf Family Dentistry,amenity:dentist,59 Elizabeth Drive,Lockport,NY,14094,+1-716-433-8332,,,node,13522967265,https://www.openstreetmap.org/node/13522967265,43.1545385,-78.6666333,Niagara County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Cnd Nail Spa Waxing,shop:beauty,3776 Harlem Road,Cheektowaga,NY,14215,+1-716-833-1234,,,node,8518933492,https://www.openstreetmap.org/node/8518933492,42.9467401,-78.7843347,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Color Karma,shop:hairdresser,192 Central Avenue Unit 1,Lancaster,NY,14086,+1-716-288-9339,,,node,7969790725,https://www.openstreetmap.org/node/7969790725,42.9084331,-78.6718149,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Corso's Barbershop,shop:hairdresser,2501,Monroe County,NY,14625,+1-585-474-4219,,,node,12730016401,https://www.openstreetmap.org/node/12730016401,43.1525868,-77.5060202,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Crisp Rochester,amenity:restaurant,819,Monroe County,NY,,+1-585-978-7237,,,node,12092643517,https://www.openstreetmap.org/node/12092643517,43.1417624,-77.598207,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Crumpets,amenity:restaurant,441 Monroe Avenue,Rochester,NY,14607,+1 585-434-2535,,,node,8785766495,https://www.openstreetmap.org/node/8785766495,43.1471723,-77.5951192,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
CubeSmart,shop:storage_rental,5725 South Transit Road,Lockport,NY,14094,+17162807169,,,way,634031776,https://www.openstreetmap.org/way/634031776,43.1483687,-78.6939829,Niagara County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Culver Medical Group,amenity:doctors,913 Culver Road,Rochester,NY,14609,+1-585-654-5432,,,way,1203283696,https://www.openstreetmap.org/way/1203283696,43.1616189,-77.565822,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Daily Perk,amenity:cafe,164 West Main Street,Victor,NY,14564,+15858695050,,,way,825619135,https://www.openstreetmap.org/way/825619135,42.9850895,-77.4145295,Ontario County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Dash's Market,shop:supermarket,1210 Colvin Boulevard,Buffalo,NY,14223,+1-716-874-1989,,,way,1094270142,https://www.openstreetmap.org/way/1094270142,42.9740368,-78.8590298,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Davis-Ulmer Fire Protection,office:company,1 Commerce Drive,Amherst,NY,14228,+1-716-691-3200,,,node,7623297682,https://www.openstreetmap.org/node/7623297682,43.0270378,-78.8157457,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Derigo Sales Inc,shop:wholesale,3780 Harlem Road,Buffalo,NY,14215,+1-716-834-7578,,,way,909391707,https://www.openstreetmap.org/way/909391707,42.9470772,-78.7845817,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Donna Marie's Gluten Free Bakery,shop:bakery,900 Jefferson Road Unit 905,Rochester,NY,14623,+1-585-254-0706,,,node,12656989508,https://www.openstreetmap.org/node/12656989508,43.0901488,-77.6130699,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Draudt's Farm Market,amenity:marketplace,4779 Clark Street,Hamburg,NY,14075,+1-716-648-7077,,,way,907890518,https://www.openstreetmap.org/way/907890518,42.735351,-78.8040828,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
"Eden Veterinary Clinic, PLLC",amenity:veterinary,8217 North Main Street,Eden,NY,14057,+1-716-992-3477,,,node,1071660168,https://www.openstreetmap.org/node/1071660168,42.6633226,-78.8894745,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Emergency - Strong West,amenity:clinic,156 West Avenue,Brockport,NY,14420,+1-585-758-1010,,,node,12695827474,https://www.openstreetmap.org/node/12695827474,43.2213366,-77.944362,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Fabrics & Findings,shop:fabric,30 Anderson Avenue,Rochester,NY,14607,+1 585-271-6120,,,node,13227007708,https://www.openstreetmap.org/node/13227007708,43.1581763,-77.5850699,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Five Star Bank,amenity:bank,5491 Sheridan Drive,Buffalo,NY,14221,+1-716-839-5555,,,way,269088552,https://www.openstreetmap.org/way/269088552,42.9772966,-78.7321436,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Forever Nails,shop:beauty,3500 Main Street Unit Suite 360,Buffalo,NY,14226,+1-716-833-5424,,,node,8365956614,https://www.openstreetmap.org/node/8365956614,42.9596004,-78.8184217,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Frame & Save,shop:yes,4550 Main Street,Amherst,NY,14226,+1-716-839-1155,,,node,8027323530,https://www.openstreetmap.org/node/8027323530,42.9629281,-78.7818203,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
"Frances DePlato, DDS",amenity:dentist,3795 Harlem Road,Buffalo,NY,14215,+1-716-832-5100,,,way,909391708,https://www.openstreetmap.org/way/909391708,42.9469081,-78.7835402,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Fresh Arabic Sweets (بلاد الشام),shop:bakery,560 Amherst Street,Erie County,NY,14207,+1 716-768-3826,,,node,12638607601,https://www.openstreetmap.org/node/12638607601,42.9405515,-78.8838456,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
GNC,shop:nutrition_supplements,1601 Penfield Road,Rochester,NY,14625,+1-585-381-6710,,,node,8785743529,https://www.openstreetmap.org/node/8785743529,43.1332292,-77.4965674,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Golden Pipe Smoke Shop,shop:e-cigarette,3770 Harlem Road,Cheektowaga,NY,14215,+1-716-833-7473,,,node,8518933494,https://www.openstreetmap.org/node/8518933494,42.9465977,-78.7843287,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Gordy's Inn,amenity:bar,3676 Harlem Road,Buffalo,NY,14215,+1-716-836-3330,,,way,1238059134,https://www.openstreetmap.org/way/1238059134,42.9438245,-78.78439,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Gray Barn Farm Market,shop:farm,1484 Rush-Scottsville Road,Rush,NY,14543,+1 585-533-1396,,,node,9728434412,https://www.openstreetmap.org/node/9728434412,43.0026932,-77.6607892,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Gui's Lumber,shop:doityourself,1889 Whitehaven Road,Grand Island,NY,14072,+1 716-773-9060,,,way,1136836355,https://www.openstreetmap.org/way/1136836355,43.0225536,-78.961694,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Happy Earth Tea,shop:tea,696 South Avenue,Rochester,NY,14620,+1 585-730-7754,,,node,11666270148,https://www.openstreetmap.org/node/11666270148,43.1417094,-77.6042285,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Hard Rock Cafe,amenity:restaurant,333 Prospect Street,Niagara Falls,NY,14303,+1 716-282-0007,,,way,1436076416,https://www.openstreetmap.org/way/1436076416,43.0867219,-79.064351,Niagara County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Heads Up Barber Shop,shop:hairdresser,4498 Main Street Unit #6,Amherst,NY,14226,+1-716-839-1569,,,node,6919264178,https://www.openstreetmap.org/node/6919264178,42.9641301,-78.7837422,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Hector's Hardware,shop:hardware,3875 Harlem Road,Amherst,NY,14215,+1-716-834-7412,,,way,858698747,https://www.openstreetmap.org/way/858698747,42.9493255,-78.7837144,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Herman's Farm Market & Cider Mill,shop:farm,741 Five Mile Line Road,Webster,NY,14580,+1 585-671-1246,,,node,10043184132,https://www.openstreetmap.org/node/10043184132,43.2240822,-77.4762638,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Hilton Family Restaurant,amenity:restaurant,54 Hovey Street,Hilton,NY,14468,+1 585-392-4700,,,way,955164435,https://www.openstreetmap.org/way/955164435,43.2892219,-77.7916047,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Home Outlet,shop:doityourself,1800 Empire Boulevard,Webster,NY,14580,+1-585-671-3200,,,way,306154258,https://www.openstreetmap.org/way/306154258,43.1879209,-77.5041128,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
HomeGoods,shop:houseware,1501 Niagara Falls Boulevard,Buffalo,NY,14228,+1 716-862-8193,,,node,10130980700,https://www.openstreetmap.org/node/10130980700,42.9963688,-78.8201389,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
HomeGoods,shop:houseware,8224 Transit Road,Buffalo,NY,14221,+1 716-689-1580,,,way,363075662,https://www.openstreetmap.org/way/363075662,42.992316,-78.6993296,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
HomeGoods,shop:houseware,3480 Amelia Drive,Orchard Park,NY,14127,+1 716-821-9271,,,way,682339936,https://www.openstreetmap.org/way/682339936,42.7899046,-78.784977,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
HomeGoods,shop:houseware,913 Holt Road Unit 160,Webster,NY,14580,+1 585-217-9258,,,node,8786018451,https://www.openstreetmap.org/node/8786018451,43.2136387,-77.4518043,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Howard Hanna,office:estate_agent,3195 Niagara Falls Boulevard,Buffalo,NY,14228,+1 716-691-5800,,,way,259135876,https://www.openstreetmap.org/way/259135876,43.0416563,-78.8235475,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Hubert's Auto and Truck Repair,shop:car_repair,3754 Harlem Road,Buffalo,NY,14215,+1-716-835-2987,,,way,917192155,https://www.openstreetmap.org/way/917192155,42.9459917,-78.7846592,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
India House Express,amenity:restaurant,1340 Mount Hope Avenue Unit 1,Rochester,NY,14620,+1 585-360-2955,,,node,8786088134,https://www.openstreetmap.org/node/8786088134,43.1238281,-77.6175848,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
J C Miller Co. General Store,shop:general,10707 Millers Road,Lyndonville,NY,14098,+1-585-765-3266,,,way,830104516,https://www.openstreetmap.org/way/830104516,43.326282,-78.4282865,Orleans County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Jay's Integrity Auto Repair,shop:car_repair,241 East Henrietta Road,Rochester,NY,14620,+1 585 271 3270,,,way,970683429,https://www.openstreetmap.org/way/970683429,43.1166779,-77.6173601,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Jugnoo's Pakistani Restaurant,amenity:restaurant,3333 W Henrietta Road Unit C,Rochester,NY,14623,+1-585-340-6554,,,node,2687125276,https://www.openstreetmap.org/node/2687125276,43.0879265,-77.6441604,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
KeyBank,amenity:bank,5200 Main Street,Williamsville,NY,14221,+1-716-276-7902,,,way,894077385,https://www.openstreetmap.org/way/894077385,42.9609263,-78.7588985,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
KOCINA Stingray Sushifusion 2GO,amenity:restaurant,1921 South Avenue,Rochester,NY,14620,+1 585-978-7966,,,node,6975341034,https://www.openstreetmap.org/node/6975341034,43.1178221,-77.6171493,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Kwik Fill,amenity:fuel,3724 Harlem Road,Buffalo,NY,14215,+1-716-835-1616,,,way,637019362,https://www.openstreetmap.org/way/637019362,42.9452955,-78.7845531,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
L.W Integrity Funding,shop:money_lender,4498 Main Street Unit #8,Amherst,NY,14226,+1-716-873-3500,,,node,6919264177,https://www.openstreetmap.org/node/6919264177,42.9642312,-78.7837422,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Lake Breeze Bicycle,shop:bicycle,10707 Millers Road,Lyndonville,NY,14098,+1-585-735-5970,,,node,13003040494,https://www.openstreetmap.org/node/13003040494,43.3263118,-78.4282119,Orleans County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Lands' End Inlet,shop:clothes,2000 Miracle Mile Drive,Rochester,NY,14623,+1 585-424-3500,,,way,125920672,https://www.openstreetmap.org/way/125920672,43.0853663,-77.6369924,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Little Caesars,amenity:fast_food,1297 Chili Avenue,Rochester,NY,14624,+1 585-235-2400,,,node,8786021401,https://www.openstreetmap.org/node/8786021401,43.1382341,-77.6703009,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Manzara Cafe,amenity:cafe,2341 Monroe Avenue,Rochester,NY,14618,+1 5855379910,,,node,8785865782,https://www.openstreetmap.org/node/8785865782,43.1196552,-77.557595,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Mark's Country Store,shop:agrarian,254 West Main Street,Springville,NY,14141,+1-716-592-9172,,,way,629942332,https://www.openstreetmap.org/way/629942332,42.5086161,-78.6767011,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Master Falafel,amenity:restaurant,519 Monroe Avenue,Rochester,NY,14607,+1 585-471-8386,,,node,8785915533,https://www.openstreetmap.org/node/8785915533,43.1462858,-77.5935597,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
McGarrets,amenity:bar,946 Elmwood Avenue,Buffalo,NY,14222,+1-716-883-4913,,,node,6460392987,https://www.openstreetmap.org/node/6460392987,42.9229337,-78.8771897,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Mesquite Grill,amenity:restaurant,1900 South Clinton Avenue,Rochester,NY,14618,+1 585-340-6026,,,node,6629403960,https://www.openstreetmap.org/node/6629403960,43.120066,-77.5928724,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Mighty Taco,amenity:fast_food,5999 South Park Avenue,Hamburg,NY,14075,+1-716-649-8177,,,node,5659912586,https://www.openstreetmap.org/node/5659912586,42.7338823,-78.8267412,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Minitz,shop:convenience,1770 Seneca Street,Buffalo,NY,14210,+1 716 826 6209,,,node,9456819357,https://www.openstreetmap.org/node/9456819357,42.8618288,-78.8179216,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Mobil,amenity:fuel,3652 Sheridan Drive,Buffalo,NY,14226,+1-716-834-9003,,,way,637076949,https://www.openstreetmap.org/way/637076949,42.9799394,-78.7980524,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Mobil,amenity:fuel,110 Telegraph Road,Niagara County,NY,14105,+17167357153,,,node,12660988601,https://www.openstreetmap.org/node/12660988601,43.2052222,-78.4771326,Niagara County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Ms Eye Candy,shop:clothes,85 Allen Street,Erie County,NY,,+1 716-240-9961,,https://www.facebook.com/mseyecandybuffalo/,node,11959586321,https://www.openstreetmap.org/node/11959586321,42.8995346,-78.8732307,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time
