name,category,address,city,state,postcode,phone,email,facebook,osm_type,osm_id,osm_url,latitude,longitude,source_region,confidence_score,no_website_signal,verification_status,website_found_url,website_found_title,search_query
Red Roof+ University at Buffalo - Amherst,tourism:hotel,42 Flint Road,Buffalo,NY,14226,+1 716 689 7474,10104@redroof.com,,relation,8889678,https://www.openstreetmap.org/relation/8889678,42.9898245,-78.7932291,Erie County,90,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,http://www.redroof.com/reservations/property-detail.aspx?pid=00104,http://www.redroof.com/reservations/property-detail.aspx?pid=00104,"""Red Roof+ University at Buffalo - Amherst"""
"Richard Daly, Esq.",office:lawyer,4249 Maple Road,Buffalo,NY,14226,+1 716-835-2200,richardfdaly@yahoo.com,,node,10553021994,https://www.openstreetmap.org/node/10553021994,42.9903784,-78.8055034,Erie County,90,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.dalyblack.com/our-team/richard-daly-trial-lawyer/,https://www.dalyblack.com/our-team/richard-daly-trial-lawyer/,"""Richard Daly, Esq."""
Shatkin F.I.R.S.T.,amenity:dentist,2495 Kensington Avenue,Buffalo,NY,14226,+1-888-474-2854,info@shatkinfirst.com,,way,894068364,https://www.openstreetmap.org/way/894068364,42.9570765,-78.7691731,Erie County,90,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://shatkinfirst.com/,https://shatkinfirst.com/,"""Shatkin F.I.R.S.T."""
Staple Vintage,shop:clothes,664 University Avenue,Rochester,NY,14607,+1-585-737-6019,,https://www.facebook.com/staplevintageroc/,node,13207821753,https://www.openstreetmap.org/node/13207821753,43.1560326,-77.5849824,Monroe County,90,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.staplevintage.shop/,https://www.staplevintage.shop/,"""Staple Vintage"""
Access Care,amenity:doctors,4960 Harlem Road,Amherst,NY,14226,+1-716-748-7640,,,node,8325200377,https://www.openstreetmap.org/node/8325200377,42.9770119,-78.7846884,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://accesscare.health/,https://accesscare.health/,"""Access Care"""
Ace Hardware,shop:doityourself,5726 South Park Avenue,Hamburg,NY,14075,+1 716-649-4141,,,way,559521873,https://www.openstreetmap.org/way/559521873,42.741394,-78.8243858,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,http://www.acehardware.com/home/index.jsp,http://www.acehardware.com/home/index.jsp,"""Ace Hardware"""
Aguilera's,amenity:restaurant,521 Monroe Avenue,Rochester,NY,14607,+1 585-537-5705,,,node,6410562777,https://www.openstreetmap.org/node/6410562777,43.14626,-77.5934831,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.aol.com/entertainment/christina-aguilera-nails-plunging-see-125938498.html,https://www.aol.com/entertainment/christina-aguilera-nails-plunging-see-125938498.html,"""Aguilera's"""
Alethea's Chocolates,shop:confectionery,8301 Main Street,Erie County,NY,14221,+1 716-633-8620,,,node,12625205401,https://www.openstreetmap.org/node/12625205401,42.9645487,-78.6851805,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.aletheas.com/,https://www.aletheas.com/,"""Alethea's Chocolates"""
Ark Veterinary Hospital & Urgent Care,amenity:veterinary,35 Finn Road,Henrietta,NY,14467,+1 585 487 8700,,,way,1353251266,https://www.openstreetmap.org/way/1353251266,43.045356,-77.6585568,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.arkvh.com/meet-our-doctors/,https://www.arkvh.com/meet-our-doctors/,"""Ark Veterinary Hospital & Urgent Care"""
Artisan Autoworks,shop:car_repair,518 Rhode Island Street,Buffalo,NY,14213,+1-716-768-3746,,,node,12593726467,https://www.openstreetmap.org/node/12593726467,42.913152,-78.882959,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://reviews.birdeye.com/artisan-autoworks-166035180328363,https://reviews.birdeye.com/artisan-autoworks-166035180328363,"""Artisan Autoworks"""
Austin's Kitchen,amenity:restaurant,520 Lee Entrance Unit 306,Erie County,NY,,+1 716-923-3969,,,node,11963934033,https://www.openstreetmap.org/node/11963934033,43.0019344,-78.7843581,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.eataustinkitchen.com/,https://www.eataustinkitchen.com/,"""Austin's Kitchen"""
Baker Street Bread Co,shop:bakery,745 Park Avenue,Rochester,NY,14607,+1 585-241-3120,,,node,924831384,https://www.openstreetmap.org/node/924831384,43.1473941,-77.5758235,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://bakerstreetbread.com/,https://bakerstreetbread.com/,"""Baker Street Bread Co"""
Barbara Oliver Jewelers,shop:jewelry,5820 Main Street,Buffalo,NY,14221,+1-716-204-1297,,,node,4377394890,https://www.openstreetmap.org/node/4377394890,42.9645636,-78.7364232,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://barbaraoliverandco.com/,https://barbaraoliverandco.com/,"""Barbara Oliver Jewelers"""
Beulah's Diner,amenity:restaurant,1239 Niagara Street,Buffalo,NY,14213,+1 716-322-5079,,,node,8454611691,https://www.openstreetmap.org/node/8454611691,42.9175682,-78.8988951,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.buffalorising.com/2023/10/beulahs-diner-opens-on-niagara-street/,https://www.buffalorising.com/2023/10/beulahs-diner-opens-on-niagara-street/,"""Beulah's Diner"""
BJ's Wholesale Club,shop:wholesale,950 Ridge Road,Webster,NY,14580,+1 585-787-2400,,,way,243923018,https://www.openstreetmap.org/way/243923018,43.2107612,-77.465661,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://newsroom.bjs.com/about-us/default.aspx,https://newsroom.bjs.com/about-us/default.aspx,"""BJ's Wholesale Club"""
Blacksheep Boutique,shop:gift,34 Central Avenue,Lancaster,NY,14086,+1-716-288-9880,,https://www.facebook.com/lancasterblacksheep/,node,13588279626,https://www.openstreetmap.org/node/13588279626,42.9017386,-78.6706178,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://shopblacksheepboutique.com/,https://shopblacksheepboutique.com/,"""Blacksheep Boutique"""
BLU Bar and Grill,amenity:bar,250 Pixley Road,Rochester,NY,14624,+1 585 247 0079,,,way,261552107,https://www.openstreetmap.org/way/261552107,43.1433781,-77.7085839,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.blu.bm/,https://www.blu.bm/,"""BLU Bar and Grill"""
Bruegger's Bagels,amenity:fast_food,707 Pittsford Victor Road,Pittsford,NY,14534,+1 585-264-0060,,,node,936996927,https://www.openstreetmap.org/node/936996927,43.0606132,-77.4759806,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.brueggers.com/,https://www.brueggers.com/,"""Bruegger's Bagels"""
Buffalo Infertility & IVF Associates,amenity:clinic,4510 Main Street,Amherst,NY,14226,+1-716-839-3057,,,way,738983154,https://www.openstreetmap.org/way/738983154,42.9639978,-78.7831207,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://buffaloivf.com/,https://buffaloivf.com/,"""Buffalo Infertility & IVF Associates"""
Cafe Sasso,amenity:cafe,739 Park Avenue,Rochester,NY,14607,+1 585-697-0235,,,node,924831379,https://www.openstreetmap.org/node/924831379,43.1474778,-77.5759519,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.zmenu.com/cafe-sasso-rochester-online-menu/,https://www.zmenu.com/cafe-sasso-rochester-online-menu/,"""Cafe Sasso"""
Chateau Wine & Spirits,shop:alcohol,1620 Penfield Road,Rochester,NY,14625,+1-585-385-9900,,,node,8786011836,https://www.openstreetmap.org/node/8786011836,43.1347762,-77.4938994,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.ohlq.com/locations/chateau-wine-spirits-2131-polaris-pkwy,https://www.ohlq.com/locations/chateau-wine-spirits-2131-polaris-pkwy,"""Chateau Wine & Spirits"""
Chili's,amenity:restaurant,1145 Niagara Falls Boulevard,Amherst,NY,14226,+1-716-832-3730,,,way,396886929,https://www.openstreetmap.org/way/396886929,42.9848146,-78.8221248,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.chilis.com/,https://www.chilis.com/,"""Chili's"""
China King,amenity:restaurant,4271 Lake Avenue,Buffalo,NY,14219,+1-716-826-6668,,,node,13094666549,https://www.openstreetmap.org/node/13094666549,42.7955513,-78.8199488,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,http://www.chinaking.org/,http://www.chinaking.org/,"""China King"""
Clean-O-Rama Laundromat,shop:laundry,345 Jefferson Road,Rochester,NY,14623,+1-585-272-1797,,,node,1036509718,https://www.openstreetmap.org/node/1036509718,43.0906831,-77.6475029,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.cleanoramalaundromat.com/,https://www.cleanoramalaundromat.com/,"""Clean-O-Rama Laundromat"""
Clinton Fast Cash,shop:pawnbroker,997 North Clinton Avenue,Rochester,NY,14621,+1 585-454-1444,,,node,7248891028,https://www.openstreetmap.org/node/7248891028,43.177105,-77.6136223,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://placesguru.com/new-york/rochester/clinton-fast-cash-997-n-clinton-ave-ny-14621,https://placesguru.com/new-york/rochester/clinton-fast-cash-997-n-clinton-ave-ny-14621,"""Clinton Fast Cash"""
Clover Leaf Family Dentistry,amenity:dentist,59 Elizabeth Drive,Lockport,NY,14094,+1-716-433-8332,,,node,13522967265,https://www.openstreetmap.org/node/13522967265,43.1545385,-78.6666333,Niagara County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.cloverleafdds.com/,https://www.cloverleafdds.com/,"""Clover Leaf Family Dentistry"""
Cnd Nail Spa Waxing,shop:beauty,3776 Harlem Road,Cheektowaga,NY,14215,+1-716-833-1234,,,node,8518933492,https://www.openstreetmap.org/node/8518933492,42.9467401,-78.7843347,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://globarsalon.wordpress.com/menu/,https://globarsalon.wordpress.com/menu/,"""Cnd Nail Spa Waxing"""
Color Karma,shop:hairdresser,192 Central Avenue Unit 1,Lancaster,NY,14086,+1-716-288-9339,,,node,7969790725,https://www.openstreetmap.org/node/7969790725,42.9084331,-78.6718149,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.amazon.com/Devoted-Creations-Color-Karma-12-25/dp/B0773F5L73,https://www.amazon.com/Devoted-Creations-Color-Karma-12-25/dp/B0773F5L73,"""Color Karma"""
Corso's Barbershop,shop:hairdresser,2501,Monroe County,NY,14625,+1-585-474-4219,,,node,12730016401,https://www.openstreetmap.org/node/12730016401,43.1525868,-77.5060202,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://findbarbershopnearme.com/new-york/rochester/corsos-barber-shop/,https://findbarbershopnearme.com/new-york/rochester/corsos-barber-shop/,"""Corso's Barbershop"""
Crisp Rochester,amenity:restaurant,819,Monroe County,NY,,+1-585-978-7237,,,node,12092643517,https://www.openstreetmap.org/node/12092643517,43.1417624,-77.598207,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.crisprochester.com/,https://www.crisprochester.com/,"""Crisp Rochester"""
Crumpets,amenity:restaurant,441 Monroe Avenue,Rochester,NY,14607,+1 585-434-2535,,,node,8785766495,https://www.openstreetmap.org/node/8785766495,43.1471723,-77.5951192,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.kingarthurbaking.com/recipes/crumpets-recipe,https://www.kingarthurbaking.com/recipes/crumpets-recipe,"""Crumpets"""
CubeSmart,shop:storage_rental,5725 South Transit Road,Lockport,NY,14094,+17162807169,,,way,634031776,https://www.openstreetmap.org/way/634031776,43.1483687,-78.6939829,Niagara County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.cubesmart.com/,https://www.cubesmart.com/,"""CubeSmart"""
Culver Medical Group,amenity:doctors,913 Culver Road,Rochester,NY,14609,+1-585-654-5432,,,way,1203283696,https://www.openstreetmap.org/way/1203283696,43.1616189,-77.565822,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://doctor.webmd.com/practice/culver-medical-group-54859dc7-4703-e211-a42b-001f29e3eb44,https://doctor.webmd.com/practice/culver-medical-group-54859dc7-4703-e211-a42b-001f29e3eb44,"""Culver Medical Group"""
Daily Perk,amenity:cafe,164 West Main Street,Victor,NY,14564,+15858695050,,,way,825619135,https://www.openstreetmap.org/way/825619135,42.9850895,-77.4145295,Ontario County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.theperkdaily.com/,https://www.theperkdaily.com/,"""Daily Perk"""
Dash's Market,shop:supermarket,1210 Colvin Boulevard,Buffalo,NY,14223,+1-716-874-1989,,,way,1094270142,https://www.openstreetmap.org/way/1094270142,42.9740368,-78.8590298,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.dashsmarket.com/,https://www.dashsmarket.com/,"""Dash's Market"""
Fresh Arabic Sweets (بلاد الشام),shop:bakery,560 Amherst Street,Erie County,NY,14207,+1 716-768-3826,,,node,12638607601,https://www.openstreetmap.org/node/12638607601,42.9405515,-78.8838456,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found_manual_computer_google,https://fresharabickaniny.lovable.app/,Google Business Profile website button showed lovable.app site,"""Fresh Arabic Sweets (بلاد الشام)"" Erie County NY website"
Golden Pipe Smoke Shop,shop:e-cigarette,3770 Harlem Road,Cheektowaga,NY,14215,+1-716-833-7473,,,node,8518933494,https://www.openstreetmap.org/node/8518933494,42.9465977,-78.7843287,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found_manual_computer_google,https://www.thegoldenpipe.com/,Golden Pipe Smoke Shop official-looking website,"""Golden Pipe Smoke Shop"" Cheektowaga NY website"
Gray Barn Farm Market,shop:farm,1484 Rush-Scottsville Road,Rush,NY,14543,+1 585-533-1396,,,node,9728434412,https://www.openstreetmap.org/node/9728434412,43.0026932,-77.6607892,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found_manual_computer_google,https://www.chases-greenhouse.com/retail-the-gray-barn,The Gray Barn Farm Market - chases-greenhouses,"""Gray Barn Farm Market"" Rush NY website"
Hector's Hardware,shop:hardware,3875 Harlem Road,Amherst,NY,14215,+1-716-834-7412,,,way,858698747,https://www.openstreetmap.org/way/858698747,42.9493255,-78.7837144,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found_manual_computer_google,https://www.hectorshardware.net/,Hector's Hardware official website,"""Hector's Hardware"" Amherst NY website"
Frame & Save,shop:yes,4550 Main Street,Amherst,NY,14226,+1-716-839-1155,,,node,8027323530,https://www.openstreetmap.org/node/8027323530,42.9629281,-78.7818203,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_closed_manual_computer_google,,Google Business Profile showed permanently closed; not an outreach target,"""Frame & Save"" Amherst NY website"
Bertha's Diner,amenity:restaurant,1430 Hertel Avenue,Buffalo,NY,14216,+1-716-836-3100,,,node,2582936909,https://www.openstreetmap.org/node/2582936909,42.947854,-78.855175,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found_manual_web,http://www.berthasdiner.com,Official domain surfaced in MapQuest/search results.,"""Bertha's Diner"" ""+1-716-836-3100"""
Chayban Tailors,shop:tailor,1606 Niagara Falls Boulevard,Tonawanda,NY,14150,+1 716 833 0379,,,node,9802611188,https://www.openstreetmap.org/node/9802611188,42.9983713,-78.8228692,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found_manual_web,https://www.chaybantailor.com/,Official website surfaced in search results.,"""Chayban Tailors"" ""+1 716 833 0379"""
Elegance African Hair Braiding,shop:hairdresser,3389 Bailey Avenue,Buffalo,NY,14215,+1-716-799-7646,,,node,9429983577,https://www.openstreetmap.org/node/9429983577,42.9472292,-78.8135394,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found_manual_web,http://fadilrott3.wixsite.com/website,Wix website surfaced in Chamber/Cylex/search results.,"""Elegance African Hair Braiding"" ""+1-716-799-7646"""
Elmwood Discount Liquor and Wine,shop:alcohol,171 Elmwood Avenue,Buffalo,NY,14201,+17168821700,,,node,9369381472,https://www.openstreetmap.org/node/9369381472,42.9016779,-78.8770067,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found_manual_web,https://www.elmwooddiscountliquor.com/,Official website surfaced in search results.,"""Elmwood Discount Liquor and Wine"" ""+17168821700"""
Epic Hair Salon,shop:hairdresser,1596 Niagara Falls Boulevard,Tonawanda,NY,14150,+1 716 424 1488,,,node,9802611174,https://www.openstreetmap.org/node/9802611174,42.9978319,-78.8228866,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found_manual_web,https://epichairsalon.com/,Official website surfaced in search results.,"""Epic Hair Salon"" ""+1 716 424 1488"""
Giovanni's Hair Fashions,shop:hairdresser,4228 Delaware Avenue,Tonawanda,NY,14150,+1 716 693 2267,,,node,10065298677,https://www.openstreetmap.org/node/10065298677,42.9994819,-78.8755559,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found_manual_web,https://www.giovannishairfashions.com/,Official website surfaced in search results.,"""Giovanni's Hair Fashions"" ""+1 716 693 2267"""
Hayes Motor Car,shop:car_repair,3697 Delaware Avenue,Buffalo,NY,14217,+1 716 877 2600,,,way,1051649838,https://www.openstreetmap.org/way/1051649838,42.9851579,-78.8725912,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found_manual_web,http://www.hayesmotorcar.com,Official website surfaced in MapQuest/search results.,"""Hayes Motor Car"" ""+1 716 877 2600"""
In-n-Out Deli & Convenience Store,shop:convenience,1626 Penfield Road,Rochester,NY,14625,+1-585-508-8384,,,node,8786017037,https://www.openstreetmap.org/node/8786017037,43.1346627,-77.4937599,Monroe County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found_manual_web,https://in-n-outdeli.com/,Official website surfaced in search results.,"""In-n-Out Deli & Convenience Store"" ""+1-585-508-8384"""
Jimmy's Texas Hots,amenity:restaurant,2350 Delaware Avenue,Buffalo,NY,14216,+17168776618,,,node,9317499284,https://www.openstreetmap.org/node/9317499284,42.9480777,-78.8691115,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found_manual_web,https://jimmystexashots.com/,Official website surfaced in search results.,"""Jimmy's Texas Hots"" ""+17168776618"""
Kalypso Restaurant,amenity:restaurant,12 Winspear Avenue,Buffalo,NY,14214,+17168343663,,,node,9298883490,https://www.openstreetmap.org/node/9298883490,42.9513306,-78.8250986,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found_manual_web,http://www.kalypsobuffalo.com,Business website surfaced in Visit Buffalo/BizStanding search results.,"""Kalypso Restaurant"" ""+17168343663"""
Kelly's Korner,amenity:bar,2526 Delaware Avenue,Buffalo,NY,14216,+17168779466,,,node,9391300065,https://www.openstreetmap.org/node/9391300065,42.9530456,-78.8692192,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found_manual_web,https://kellyskorner.shop/,Business website surfaced in search results.,"""Kelly's Korner"" ""+17168779466"""
Marcus Jewelry,shop:jewelry,1590 Niagara Falls Boulevard,Tonawanda,NY,14150,+1 716 834 1030,,,node,9802611171,https://www.openstreetmap.org/node/9802611171,42.9976715,-78.8228913,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found_manual_web,https://www.marcusjewelryny.com/,Official website surfaced in search results.,"""Marcus Jewelry"" ""+1 716 834 1030"""
Mattina's Pizzeria,amenity:restaurant,3744 Delaware Avenue,Buffalo,NY,14217,+1 716 877 5949,,,node,9666758181,https://www.openstreetmap.org/node/9666758181,42.9861633,-78.8734906,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found_manual_web,https://mattinaspizzeria.com/,Official website surfaced in search results.,"""Mattina's Pizzeria"" ""+1 716 877 5949"""
Melloni's Meats & Catering,craft:caterer,1000 Ellicott Creek Road,Tonawanda,NY,14150,Meats: 754-8914 Catering: 260-2939,,,node,9783808024,https://www.openstreetmap.org/node/9783808024,43.0153704,-78.8344213,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found_manual_web,http://mellonis.com,Website surfaced and related MapQuest result says closed/relocated.,"""Melloni's Meats & Catering"" ""Meats: 754-8914 Catering: 260-2939"""
Neil's Radiator Service,shop:car_repair,116 Grand Island Boulevard,Tonawanda,NY,14150,+1 716 877 7912,,,way,196221065,https://www.openstreetmap.org/way/196221065,42.9801893,-78.9068851,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found_manual_web,https://nealsradiatorservice.com,Official website surfaced in Yahoo Local search result.,"""Neil's Radiator Service"" ""+1 716 877 7912"""
Nicole 3 Salon,shop:hairdresser,1300 Hertel Avenue Unit 1,Buffalo,NY,14216,+1-716-828-6043,,,node,6926279552,https://www.openstreetmap.org/node/6926279552,42.9479005,-78.8600012,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found_manual_web,https://www.nicole3salon.com,Official website surfaced in MapQuest/search result.,"""Nicole 3 Salon"" ""+1-716-828-6043"""
