Company name,Company domain name,Website URL,Phone number,Facebook company page,Lead status,Lifecycle stage,Lead source,No website verified,Primary email found,Additional emails found,Enrichment notes
Buffalo Temp-Pros,,,+1-716-807-1989,https://www.facebook.com/profile.php?id=100044711683159,New,Lead,WNY no-website lead list,Yes,behan911@gmail.com,,"facebook.com: emails=none, phones=+1-219-994-5254;+1-220-391-7882;+1-220-752-0000 | openstreetmap.org: emails=behan911@gmail.com, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Beauty & Class Salon,,,+1-716-367-1019,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Chez Elle Beauty Salon,,,+1-716-692-9414,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Elmwood Beverage Center,,,+1-716-882-1380,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Everything Beauty Salon and Spa,,,+1-716-482-2159,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Fashion City,,,+1-716-835-2819,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Fashion Nails,,,+1-716-837-8452,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Friendly Nails,,,+1-716-446-0230,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Good Looks,,,+1-716-447-7878,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Goyette's Barber Shop,,,+1-716-955-0858,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Hair-Drobe Barber Shop,,,+1-716-834-4247,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Head Turners,,,+1-716-605-9211,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Hertel Ave Coin Laundry,,,+1-716-768-3807,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Hilites Hair Salon,,,+1-716-834-5366,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Hollywood Wine & Spirits,,,+1-585-244-4310,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-373-342-5376;+1-390-553-6230;+1-515-313-8013"
Jimmie's Shoe Repair,,,+1-716-862-9205,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
JJ Nails,,,+1-716-783-8723,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Ken’s Barber Shop,,,+1-716-465-1022,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
La Kueva,,,+1-716-936-4933,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Lakesiders,,,+1-585-865-5001,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-585-865-5001"
Lakeville Liquor,,,+1-585-346-5818,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-585-346-5818"
Luxe Nails,,,+1-716-400-6984,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Mar Rays Jamaican Restaurant & Lounge,,,+1-585-544-7297,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-585-544-7297"
Mardee's,,,+1-716-741-3807,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-254-427-0572;+1-254-427-0573;+1-254-427-0574"
Mike's Steak House,,,+1-716-835-5636,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Modern Nails,,,+1-716-885-2790,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Nail Depot,,,+1-716-873-6281,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Next Step Salon,,,+1-716-235-8279,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
